id,cnvd_title,cnvd_id,cnvd_date,cnvd_level,cnvd_product,cnvd_cve_id,cnvd_bug_id,cnvd_description,cnvd_reference,cnvd_solution,cnvd_patch,cnvd_update
289,HP Network Automation SQL注入漏洞（CNVD-2018-12120）,CNVD-2018-12120,2018/6/26,中,HPNetworkAutomation10.00.01HPNetworkAutomation10.10HPNetworkAutomation10.11.1HPNetworkOperationsManagement2018.02HPNetworkOperationsManagement2017.11HPNetworkOperationsManagement2017.06HPNetworkAutomation10.50HPNetworkAutomation10.40HPNetworkAutomation10.,CVE-2018-6493,104131,HPNetworkAutomationSoftware是网络配置及管理自动化软件。HPNetworkAutomation存在SQL注入漏洞，允许远程攻击者可以利用漏洞提交特殊的SQL请求，操作数据库，可获取敏感信息或执行任意代码。,"https://securitytracker.com/id/1040900https://softwaresupport.softwaregrp.com/document/-/facetsearch/document/KM03158014",厂商已发布了漏洞修复程序，请及时关注更新：https://softwaresupport.softwaregrp.com/document/-/facetsearch/document/KM03158014,HP Network Automation SQL注入漏洞（CNVD-2018-12120）的补丁,2018/6/26
290,HP Network Automation跨站脚本漏洞（CNVD-2018-12125）,CNVD-2018-12125,2018/6/26,中,HPNetworkAutomation10.00.01HPNetworkAutomation10.0HPNetworkAutomation10.10HPNetworkAutomation10.11.1HPNetworkOperationsManagement2018.02HPNetworkOperationsManagement2017.11HPNetworkOperationsManagement2017.06HPNetworkAutomation10.50HPNetworkAutomation10.4,CVE-2018-6492,104131,HPNetworkAutomationSoftware是网络配置及管理自动化软件。HPNetworkAutomation存在跨站脚本漏洞，允许远程攻击者利用漏洞注入恶意脚本或HTML代码，当恶意数据被查看时，可获取敏感信息或劫持用户会话。,https://securitytracker.com/id/1040900,厂商已发布了漏洞修复程序，请及时关注更新：https://softwaresupport.softwaregrp.com/document/-/facetsearch/document/KM03158014,HP Network Automation跨站脚本漏洞（CNVD-2018-12125）的补丁,2018/6/26
291,Advantech WebAccess栈缓冲区溢出漏洞（CNVD-2018-10713）,CNVD-2018-10713,2018/5/31,高,AdvantechWebAccess<=8.2_20170817AdvantechWebAccess<=8.3.0AdvantechWebAccessDashboard<=2.0.15AdvantechWebAccessScadaNode<8.3.1AdvantechWebAccess/NMS<=2.0.3,CVE-2018-7499,0,AdvantechWebAccess等都是研华（Advantech）公司的产品。AdvantechWebAccess是一套基于浏览器架构的HMI/SCADA软件。该软件支持动态图形显示和实时数据控制，并提供远程控制和管理自动化设备的功能。WebAccessDashboard是其中的一个仪表板组件；WebAccessScadaNode是其中的一个监控节点组件。WebAccess/NMS是一套用于网络管理系统（NMS）的网络浏览器基础套件。多款Advantech产品中存在栈缓冲区溢出漏洞。攻击者可利用该漏洞执,https://ics-cert.us-cert.gov/advisories/ICSA-18-135-01,厂商已发布漏洞修复程序，请及时关注更新：http://support.advantech.com/support/DownloadSRDetail_New.aspx?SR_ID=1-MS9MJV&Doc_Source=Download,Advantech WebAccess栈缓冲区溢出漏洞（CNVD-2018-10713）的补丁,2018/5/31
292,多款Advantech产品堆缓冲区溢出漏洞,CNVD-2018-13781,2018/7/24,高,AdvantechWebAccess<=V8.2_20170817AdvantechWebAccess<=8.3.0AdvantechWebAccessDashboard<=2.0.15AdvantechWebAccess/NMS<=2.0.3AdvantechWebAccessScadaNode<=8.3.1,CVE-2018-8845,104190,AdvantechWebAccess等都是研华（Advantech）公司的产品。AdvantechWebAccess是一套基于浏览器架构的HMI/SCADA软件。该软件支持动态图形显示和实时数据控制，并提供远程控制和管理自动化设备的功能。WebAccessDashboard是其中的一个仪表板组件；WebAccessScadaNode是其中的一个监控节点组件。WebAccess/NMS是一套用于网络管理系统（NMS）的网络浏览器基础套件。多款Advantech产品中存在堆缓冲区溢出漏洞。攻击者可利用该漏洞执,https://ics-cert.us-cert.gov/advisories/ICSA-18-135-01,厂商已发布漏洞修复程序，请及时关注更新：http://support.advantech.com/support/DownloadSRDetail_New.aspx?SR_ID=1-MS9MJV&Doc_Source=Download,多款Advantech产品堆缓冲区溢出漏洞的补丁,2018/7/24
293,DCCE MAC1100 PLC存在远程代码上传漏洞,CNVD-2018-10449,2018/6/28,高,大连理工计算机控制工程有限公司MAC系列PLCMAC1100,0,0,MAC1100PLC可编程逻辑控制器（PLC）是大连计控（DCCE）可编程逻辑控制器（PLC）系列中的一款产品。DCCEMAC1100PLC存在远程代码上传漏洞。攻击者可利用该漏洞构造恶意的控制代码，远程上载任意的PLC中的控制代码，并覆盖PLC中的原有的控制代码，影响系统的可用性和完整性，影响PLC的正常运行。,,厂商尚未提供漏洞修补方案，请关注厂商主页及时更新：http://www.dcce.cn,DCCE MAC1100 PLC存在文件上传漏洞,2018/5/31
294,Advantech WebAccess路径遍历漏洞（CNVD-2018-10709）,CNVD-2018-10709,2018/5/31,低,AdvantechWebAccess<=V8.2_20170817AdvantechWebAccess<=8.3.0AdvantechWebAccessDashboard<=2.0.15AdvantechWebAccessScadaNode<8.3.1AdvantechWebAccess/NMS<=2.0.3,CVE-2018-7503,104190,AdvantechWebAccess等都是研华（Advantech）公司的产品。AdvantechWebAccess是一套基于浏览器架构的HMI/SCADA软件。该软件支持动态图形显示和实时数据控制，并提供远程控制和管理自动化设备的功能。WebAccessDashboard是其中的一个仪表板组件；WebAccessScadaNode是其中的一个监控节点组件。WebAccess/NMS是一套用于网络管理系统（NMS）的网络浏览器基础套件。多款Advantech产品中存在路径遍历漏洞。攻击者可利用该漏洞泄露敏,https://ics-cert.us-cert.gov/advisories/ICSA-18-135-01,厂商已发布漏洞修复程序，请及时关注更新：http://support.advantech.com/support/DownloadSRDetail_New.aspx?SR_ID=1-MS9MJV&Doc_Source=Download,Advantech WebAccess路径遍历漏洞（CNVD-2018-10709）的补丁,2018/5/31
295,多款Advantech产品不当权限管理漏洞,CNVD-2018-13782,2018/7/24,中,AdvantechWebAccess<=V8.2_20170817AdvantechWebAccess<=8.3.0AdvantechWebAccessDashboard<=2.0.15AdvantechWebAccess/NMS<=2.0.3AdvantechWebAccessScadaNode<=8.3.1,CVE-2018-8841,104190,AdvantechWebAccess等都是研华（Advantech）公司的产品。AdvantechWebAccess是一套基于浏览器架构的HMI/SCADA软件。该软件支持动态图形显示和实时数据控制，并提供远程控制和管理自动化设备的功能。WebAccessDashboard是其中的一个仪表板组件；WebAccessScadaNode是其中的一个监控节点组件。WebAccess/NMS是一套用于网络管理系统（NMS）的网络浏览器基础套件。多款Advantech产品中存在安全漏洞，该漏洞源于程序未能正确的管理,https://ics-cert.us-cert.gov/advisories/ICSA-18-135-01,厂商已发布漏洞修复程序，请及时关注更新：http://support.advantech.com/support/DownloadSRDetail_New.aspx?SR_ID=1-MS9MJV&Doc_Source=Download,多款Advantech产品不当权限管理漏洞的补丁,2018/7/24
296,多款Advantech产品权限提升漏洞,CNVD-2018-13785,2018/7/24,高,AdvantechWebAccess<=V8.2_20170817AdvantechWebAccess<=8.3.0AdvantechWebAccessDashboard<=2.0.15AdvantechWebAccess/NMS<=2.0.3AdvantechWebAccessScadaNode<=8.3.1,CVE-2018-7505,104190,AdvantechWebAccess等都是研华（Advantech）公司的产品。AdvantechWebAccess是一套基于浏览器架构的HMI/SCADA软件。该软件支持动态图形显示和实时数据控制，并提供远程控制和管理自动化设备的功能。WebAccessDashboard是其中的一个仪表板组件；WebAccessScadaNode是其中的一个监控节点组件。WebAccess/NMS是一套用于网络管理系统（NMS）的网络浏览器基础套件。多款Advantech产品中存在权限提升漏洞，该漏洞源于TFTP应用程,https://ics-cert.us-cert.gov/advisories/ICSA-18-135-01,厂商已发布漏洞修复程序，请及时关注更新：http://support.advantech.com/support/DownloadSRDetail_New.aspx?SR_ID=1-MS9MJV&Doc_Source=Download,多款Advantech产品权限提升漏洞的补丁,2018/7/24
297,Advantech WebAccess不受信任的指针解引用漏洞,CNVD-2018-10813,2018/6/1,中,AdvantechWebAccess<=8.2_20170817AdvantechWebAccess<=8.3.0AdvantechWebAccessDashboard<=2.0.15AdvantechWebAccessScadaNode<8.3.1AdvantechWebAccess/NMS<=2.0.3,CVE-2018-7497,104190,AdvantechWebAccess等都是研华（Advantech）公司的产品。AdvantechWebAccess是一套基于浏览器架构的HMI/SCADA软件。该软件支持动态图形显示和实时数据控制，并提供远程控制和管理自动化设备的功能。WebAccessDashboard是其中的一个仪表板组件；WebAccessScadaNode是其中的一个监控节点组件。WebAccess/NMS是一套用于网络管理系统（NMS）的网络浏览器基础套件。多款Advantech产品中存在安全漏洞。攻击者可利用该漏洞执行任意代,https://ics-cert.us-cert.gov/advisories/ICSA-18-135-01,厂商已发布漏洞修复程序，请及时关注更新：http://support.advantech.com/support/DownloadSRDetail_New.aspx?SR_ID=1-MS9MJV&Doc_Source=Download,Advantech WebAccess不受信任的指针解引用漏洞的补丁,2018/6/1
298,Advantech WebAccess路径遍历漏洞（CNVD-2018-10660）,CNVD-2018-10660,2018/5/31,中,AdvantechWebAccess<=8.2_20170817AdvantechWebAccess<=8.3.0AdvantechWebAccessDashboard<=2.0.15AdvantechWebAccessScadaNode<8.3.1AdvantechWebAccess/NMS<=2.0.3,CVE-2018-10589,104190,AdvantechWebAccess等都是研华（Advantech）公司的产品。AdvantechWebAccess是一套基于浏览器架构的HMI/SCADA软件。该软件支持动态图形显示和实时数据控制，并提供远程控制和管理自动化设备的功能。WebAccessDashboard是其中的一个仪表板组件；WebAccessScadaNode是其中的一个监控节点组件。WebAccess/NMS是一套用于网络管理系统（NMS）的网络浏览器基础套件。多款Advantech产品中存在路径遍历漏洞。攻击者可利用该漏洞执行任,https://ics-cert.us-cert.gov/advisories/ICSA-18-135-01,厂商已发布漏洞修复程序，请及时关注更新：http://support.advantech.com/support/DownloadSRDetail_New.aspx?SR_ID=1-MS9MJV&Doc_Source=Download,Advantech WebAccess路径遍历漏洞（CNVD-2018-10660）的补丁,2018/5/31
299,多款Advantech产品文件名或路径外部控制漏洞,CNVD-2018-13786,2018/7/24,中,AdvantechWebAccess<=8.2_20170817AdvantechWebAccess<=8.3.0AdvantechWebAccessDashboard<=2.0.15AdvantechWebAccess/NMS<=2.0.3AdvantechWebAccessScadaNode<=8.3.1,CVE-2018-7495,104190,AdvantechWebAccess等都是研华（Advantech）公司的产品。AdvantechWebAccess是一套基于浏览器架构的HMI/SCADA软件。该软件支持动态图形显示和实时数据控制，并提供远程控制和管理自动化设备的功能。WebAccessDashboard是其中的一个仪表板组件；WebAccessScadaNode是其中的一个监控节点组件。WebAccess/NMS是一套用于网络管理系统（NMS）的网络浏览器基础套件。多款Advantech产品中存在安全漏洞。攻击者可利用该漏洞删除文件。,https://ics-cert.us-cert.gov/advisories/ICSA-18-135-01,厂商已发布漏洞修复程序，请及时关注更新：http://support.advantech.com/support/DownloadSRDetail_New.aspx?SR_ID=1-MS9MJV&Doc_Source=Download,多款Advantech产品文件名或路径外部控制漏洞的补丁,2018/7/24
300,Advantech WebAccess信息泄露漏洞（CNVD-2018-09823）,CNVD-2018-09823,2018/5/17,中,AdvantechWebAccessDashboard<=2.0.15AdvantechWebAccessScadaNode<8.3.1AdvantechWebAccess/NMS<=2.0.3,CVE-2018-10590,0,AdvantechWebAccess等都是研华（Advantech）公司的产品。AdvantechWebAccess是一套基于浏览器架构的HMI/SCADA软件。该软件支持动态图形显示和实时数据控制，并提供远程控制和管理自动化设备的功能。WebAccessDashboard是其中的一个仪表板组件；WebAccessScadaNode是其中的一个监控节点组件。WebAccess/NMS是一套用于网络管理系统（NMS）的网络浏览器基础套件。多款Advantech产品中存在安全漏洞。攻击者可利用该漏洞获取不可见,https://ics-cert.us-cert.gov/advisories/ICSA-18-135-01,厂商已发布漏洞修复程序，请及时关注更新：http://support.advantech.com/support/DownloadSRDetail_New.aspx?SR_ID=1-MS9MJV&Doc_Source=Download,Advantech WebAccess信息泄露漏洞（CNVD-2018-09823）的补丁,2018/5/18
301,Advantech WebAccess堆栈缓冲区溢出漏洞（CNVD-2018-11703）,CNVD-2018-11703,2018/6/13,高,AdvantechWebAccess0,0,100216,AdvantechWebAccess是研华（Advantech）公司的一套基于浏览器架构的HMI/SCADA软件。该软件支持动态图形显示和实时数据控制，并提供远程控制和管理自动化设备的功能。AdvantechWebAccess存在堆栈缓冲区溢出漏洞。攻击者可以利用漏洞在受影响设备中执行任意代码，失败的攻击会造成拒绝服务。,"http://www.securityfocus.com/bid/100216http://www.zerodayinitiative.com/advisories/ZDI-17-526/",目前没有详细解决方案提供：http://www.advantech.com/industrial-automation/webaccess,,2018/6/20
302,Advantech WebAccess SQL注入漏洞（CNVD-2018-11441）,CNVD-2018-11441,2018/6/13,高,AdvantechWebAccess0,0,100231,AdvantechWebAccess是研华（Advantech）公司的一套基于浏览器架构的HMI/SCADA软件。该软件支持动态图形显示和实时数据控制，并提供远程控制和管理自动化设备的功能。AdvantechWebAccess存在SQL注入漏洞，由于应用程序未能在使用SQL查询之前正确地对用户提供的输入进行过滤。攻击者可以利用漏洞危及应用程序，访问或修改数据，或者利用底层数据库中的漏洞。,http://www.securityfocus.com/bid/100231,厂商已发布了漏洞修复程序，请及时关注更新：http://www.zerodayinitiative.com/advisories/ZDI-17-524/,Advantech WebAccess SQL注入漏洞（CNVD-2018-11441）的补丁,2018/6/13
303,多款Schneider Electric产品CGI请求授权绕过漏洞,CNVD-2018-11259,2018/6/12,高,SchneiderElectricModiconPremiumSchneiderElectricModiconM340无SchneiderElectricModiconQuantumPLCSchneiderElectricBMXNOR0200,CVE-2018-7760,0,SchneiderElectricModiconM340等都是法国施耐德电气（SchneiderElectric）公司的可编程逻辑控制器产品。多款SchneiderElectric产品中存在安全漏洞。远程攻击者可通过发送特制的请求利用该漏洞执行任意代码。,https://www.schneider-electric.com/en/download/document/SEVD-2018-081-02/,目前厂商暂未发布修复措施解决此安全问题，建议使用此软件的用户随时关注厂商主页或参考网址以获取解决办法：https://www.schneider-electric.com/,,2018/6/12
304,Lantech IDS 2102栈缓冲区溢出漏洞,CNVD-2018-09215,2018/5/10,高,LantechIDS2102<=2.0,CVE-2018-8865,0,LantechIDS2102是一款以太网设备服务器。LantechIDS21022.0及之前版本中的存在栈缓冲区溢出漏洞。远程攻击者可利用该漏洞执行代码。,https://ics-cert.us-cert.gov/advisories/ICSA-18-123-01,目前厂商暂未发布修复措施解决此安全问题，建议使用此软件的用户随时关注厂商主页或参考网址以获取解决办法：http://www.lantechcom.co.za,,2018/5/10
305,Philips Brilliance CT Scanners权限提升漏洞,CNVD-2018-09237,2018/5/9,中,PhilipsBrilliance64<=2.6.2PhilipsBrillianceiCT<=4.1.6PhilipsBrillanceiCTSP<=3.2.4PhilipsBrillianceCTBigBore<=2.3.5,CVE-2018-8853,104088,PhilipsBrilliance64等都是荷兰飞利浦（Philips）公司的CT扫描仪设备。多款PhilipsBrillianceCT设备中存在安全漏洞。攻击者可利用该漏洞获取提升的权限，并且获取底层Windows操作系统未授权资源的访问权限。,"https://www.securityfocus.com/bid/104088/solutionhttps://ics-cert.us-cert.gov/advisories/ICSMA-18-123-01https://www.usa.philips.com/healthcare/about/customer-support/product-security",目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://www.usa.philips.com/,Philips Brilliance CT Scanners权限提升漏洞的补丁,2018/5/10
306,Advantech WebAccess HMI Designer任意代码执行漏洞,CNVD-2018-08459,2018/4/26,高,AdvantechWebAccessHMIDesigner<=2.1.7.32,CVE-2018-8837,0,AdvantechWebAccessHMIDesigner是一个人机界面（HMI）运行时开发软件。AdvantechWebAccessHMIDesigner2.1.7.32及之前版本在处理特制的.pm3文件时存在任意代码执行漏洞，可导致系统在预期缓冲区外写入​​，并可能允许远程执行代码。,https://ics-cert.us-cert.gov/advisories/ICSA-18-114-03,厂商尚未提供漏洞修补方案，请关注厂商主页及时更新：http://www.advantech.com/,,2018/4/26
307,Advantech WebAccess HMI Designer双重释放漏洞,CNVD-2018-08460,2018/4/26,高,AdvantechWebAccessHMIDesigner<=2.1.7.32,CVE-2018-8835,0,AdvantechWebAccessHMIDesigner是一个人机界面（HMI）运行时开发软件。AdvantechWebAccessHMIDesigner2.1.7.32及之前版本在处理特制.pm3文件时存在双重释放漏洞，攻击者可利用漏洞远程执行代码。,https://ics-cert.us-cert.gov/advisories/ICSA-18-114-03,厂商尚未提供漏洞修补方案，请关注厂商主页及时更新：http://www.advantech.com/,,2018/4/27
308,Delta PMSoft缓冲区溢出漏洞,CNVD-2018-08899,2018/5/4,中,DeltaElectronicsPMSoft<=2.10,CVE-2018-8839,0,"PMSoft是在由DELTAELECTRONICS,INC.开发类别MiscellaneousShareware软件。DeltaPMSoft存在缓冲区溢出漏洞，其中.ppm文件可以引入比PMSoft的固定长度堆栈缓冲区可读取的值更大的值。攻击者可利用漏洞执行任意代码或导致应用程序崩溃。",https://ics-cert.us-cert.gov/advisories/ICSA-18-116-01,"据厂商提供的信息，PMSoftv2.12(或以上)版本已修复缺陷，建议用户下载使用：http://www.delta-china.com.cn/services/DownloadCenter2.aspx?secID=8&pid=2&tid=0&CID=06&itemID=060301&typeID=1&downloadID=,&title=--%20%E8%AB%8B%E9%81%B8%E6%93%87%20--&dataType=8;&check=1&hl=zh-CN",Delta PMSoft缓冲区溢出漏洞的补丁,2018/11/5
309,多款WECON产品缓冲区溢出漏洞,CNVD-2018-08900,2018/5/4,中,WECONLeviStudioHMIEditor<=1.8.29WECONPIStudioHMIProjectProgrammer<=2017年11月11日,CVE-2018-7527,104016,WECONLeviStudioHMIEditor和PIStudioHMIProjectProgrammer都是中国维控科技（WECONTechnologies）公司的人机界面编程软件。WECONLeviStudioHMIEditor和PIStudioHMIProjectProgrammer2017年11月11日之前版本中存在缓冲区溢出漏洞。远程攻击者可借助特制的文件执行代码。,"https://ics-cert.us-cert.gov/advisories/ICSA-18-116-02http://www.securityfocus.com/bid/104016",目前厂商已发布升级补丁以修复漏洞，详情请关注厂商主页：http://www.we-con.com.cn/,多款WECON产品缓冲区溢出漏洞的补丁,2018/5/4
310,Lantech IDS 2102输入验证漏洞,CNVD-2018-09214,2018/5/10,高,LantechIDS2102<=2.0,CVE-2018-8869,0,LantechIDS2102是一款以太网设备服务器。LantechIDS21022.0及之前版本中存在输入验证漏洞。远程攻击者可通过构建恶意的输入利用该漏洞执行任意代码。,https://ics-cert.us-cert.gov/advisories/ICSA-18-123-01,目前厂商暂未发布修复措施解决此安全问题，建议使用此软件的用户随时关注厂商主页或参考网址以获取解决办法：http://www.lantechcom.co.za,,2018/5/10
311,多款Schneider Electric产品HTTP request解析器任意代码执行漏洞,CNVD-2018-11261,2018/6/12,高,SchneiderElectricModiconPremiumSchneiderElectricModiconM340无SchneiderElectricModiconQuantumPLCSchneiderElectricBMXNOR0200,CVE-2018-7761,0,SchneiderElectricModiconM340等都是法国施耐德电气（SchneiderElectric）公司的可编程逻辑控制器产品。HTTPrequestparser是其中的一个HTTP请求解析器。多款SchneiderElectric产品中的HTTPrequest解析器存在安全漏洞。远程攻击者可利用该漏洞执行任意代码。,https://www.schneider-electric.com/en/download/document/SEVD-2018-081-02/,目前厂商暂未发布修复措施解决此安全问题，建议使用此软件的用户随时关注厂商主页或参考网址以获取解决办法：https://www.schneider-electric.com/,,2018/6/12
312,Philips Brilliance CT Scanners硬编码证书漏洞,CNVD-2018-09234,2018/5/10,高,PhilipsBrilliance64<=2.6.2PhilipsBrillianceiCT<=4.1.6PhilipsBrillanceiCTSP<=3.2.4PhilipsBrillianceCTBigBore<=2.3.5,CVE-2018-8857,104088,PhilipsBrilliance64等都是荷兰飞利浦（Philips）公司的CT扫描仪设备。多款PhilipsBrillianceCT设备中存在安全漏洞，该漏洞源于设备中的软件使用了硬编码的凭证（例如：密码或加密密钥）。攻击者可利用该漏洞控制这些凭证并获取系统的访问权限。,https://nvd.nist.gov/vuln/detail/CVE-2018-8857,目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://www.usa.philips.com/healthcare/about/customer-support/product-security,Philips Brilliance CT Scanners硬编码证书漏洞的补丁,2018/5/10
313,Philips Brilliance CT Scanners未授权访问漏洞,CNVD-2018-09238,2018/5/9,中,PhilipsBrilliance64<=2.6.2PhilipsBrillianceiCT<=4.1.6PhilipsBrillanceiCTSP<=3.2.4PhilipsBrillianceCTBigBore<=2.3.5,CVE-2018-8861,0,PhilipsBrilliance64等都是荷兰飞利浦（Philips）公司的CT扫描仪设备。多款PhilipsBrillianceCT设备中的kiosk环境存在安全漏洞。攻击者可利用该漏洞摆脱kiosk环境的限制，从底层Windows操作系统中获取提升的权限或获取操作系统中未授权资源的访问权限。,"https://www.securityfocus.com/bid/104088https://ics-cert.us-cert.gov/advisories/ICSMA-18-123-01https://www.usa.philips.com/healthcare/about/customer-support/product-security",目前厂商已发布升级补丁以修复漏洞，补丁获取链接：https://www.usa.philips.com/,Philips Brilliance CT Scanners未授权访问漏洞的补丁,2018/5/10
314,PLCWinNT软件存在内存泄露漏洞,CNVD-2018-10252,2018/6/19,中,3S-SmartSoftwareSolutionsGmbHPLCWinNT软件V2,0,0,CoDeSys是可编程逻辑控制PLC的完整开发环境，其中可以通过对PLCWinNT软件进行配置实现模拟功能。在V2版本的CoDeSys软件对应的PLCWinNT软件存在内存泄露漏洞。攻击者可以对进程的内存地址空间执行任意写操作，利用该漏洞可以实现远程代码执行。,,厂商尚未提供漏洞修补方案，请关注厂商主页及时更新：https://www.codesys.com/,PLCWinNT软件存在内存泄露漏洞,2018/5/28
315,Siemens Siveillance VMS Video for Android和iOS不正确的证书验证漏洞,CNVD-2018-09146,2018/5/9,中,SiemensSiveillanceVMSVideoforAndroid<12.1a(2018R1)SiemensSiveillanceVMSVideoforiOS<12.1a(2018R1),CVE-2018-4849,0,SiemensSiveillanceVMSVideoforAndroid是德国西门子（Siemens）公司的一套基于Android平台的视频管理软件。SiveillanceVMSVideoforiOS是基于iOS平台的版本。基于Android平台的SiveillanceVMSVideo12.1a(2018R1)之前版本和基于iOS平台的SiveillanceVMSVideo12.1a(2018R1)之前版本中存在安全漏洞，该漏洞源于程序未能正确的校验证书。攻击者可通过拦截通道的通信并创建证书利用该漏洞写入,https://ics-cert.us-cert.gov/advisories/ICSA-18-128-03,目前厂商已发布升级补丁以修复漏洞，补丁获取链接:https://cert-portal.siemens.com/productcert/pdf/ssa-597741.pdf,Siemens Siveillance VMS Video for Android和iOS不正确的证书验证漏洞的补丁,2018/5/9
316,WECON LeviStudio存在堆溢出漏洞,CNVD-2018-09981,2018/6/24,中,WECONLeviStudio20180426,0,0,WECONLeviStudio是中国WECON公司的一套人机界面编程软件。WECONLeviStudio存在堆溢出漏洞。攻击者可利用漏洞通过构造畸形的hmp文件导致程序崩溃。如若成功利用，可导致任意代码执行。,,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://www.we-con.com.cn,LeviStudio存在堆溢出漏洞,2018/5/23
317,多款Schneider Electric产品缓冲区溢出漏洞,CNVD-2018-11260,2018/6/12,中,SchneiderElectricModiconPremiumSchneiderElectricModiconM340无SchneiderElectricModiconQuantumPLCSchneiderElectricBMXNOR0200,CVE-2018-7759,0,SchneiderElectricModiconM340等都是法国施耐德电气（SchneiderElectric）公司的可编程逻辑控制器产品。多款SchneiderElectric产品中存在缓冲区溢出漏洞，该漏洞源于程序把源字符串的长度（而不是缓冲区大小）指定为复制的字节数。远程攻击者可通过发送特制的请求利用该漏洞造成拒绝服务（崩溃）。,https://www.schneider-electric.com/en/download/document/SEVD-2018-081-02/,目前厂商暂未发布修复措施解决此安全问题，建议使用此软件的用户随时关注厂商主页或参考网址以获取解决办法：https://www.schneider-electric.com/,,2018/6/12
318,Advantech WebAccess 'nvA1Media.ocx'堆栈缓冲区溢出漏洞,CNVD-2018-11442,2018/6/13,高,AdvantechWebAccess0,0,100221,AdvantechWebAccess是研华（Advantech）公司的一套基于浏览器架构的HMI/SCADA软件。该软件支持动态图形显示和实时数据控制，并提供远程控制和管理自动化设备的功能。AdvantechWebAccess'nvA1Media.ocx'存在堆栈缓冲区溢出漏洞。攻击者可利用漏洞在受影响设备环境中执行任意代码，失败的攻击会造成拒绝服务。,"http://www.securityfocus.com/bid/100221https://www.zerodayinitiative.com/advisories/ZDI-17-525/",目前没有详细解决方案提供：http://www.advantech.com/industrial-automation/webaccess,,2018/6/13
319,Eaton ELCSoft Programming Software存在多个缓冲区溢出漏洞,CNVD-2018-11443,2018/6/13,高,EatonELCSoft0,0,100144,EatonELCSoftProgrammingSoftware是一套用于配置可编程逻辑控制器的软件。EatonELCSoftProgrammingSoftware存在多个缓冲区溢出漏洞，该漏洞源于将用户数据复制到大小不足的缓冲区之前未能进行充分的边界检查。攻击者可以利用漏洞在受影响应用程序环境中执行任意代码，失败的攻击会造成拒绝服务。,http://www.securityfocus.com/bid/100144,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://www.eaton.com/Eaton/index.htm,,2018/6/13
320,多款Schneider Electric产品缓冲区溢出漏洞（CNVD-2018-11262）,CNVD-2018-11262,2018/6/12,中,SchneiderElectricModiconPremiumSchneiderElectricModiconM340无SchneiderElectricModiconQuantumPLCSchneiderElectricBMXNOR0200,CVE-2018-7762,0,SchneiderElectricModiconM340等都是法国施耐德电气（SchneiderElectric）公司的可编程逻辑控制器产品。多款SchneiderElectric产品中用于处理SOAP请求的Web服务存在缓冲区溢出漏洞。攻击者可利用该漏洞造成拒绝服务（崩溃）。,https://www.schneider-electric.com/en/download/document/SEVD-2018-081-02/,目前厂商暂未发布修复措施解决此安全问题，建议使用此软件的用户随时关注厂商主页或参考网址以获取解决办法：https://www.schneider-electric.com/,,2018/6/12
321,Advantech WebAccess HMI Designer堆缓冲区溢出漏洞,CNVD-2018-08458,2018/4/26,高,AdvantechWebAccessHMIDesigner<=2.1.7.32,CVE-2018-8833,0,AdvantechWebAccessHMIDesigner是一个人机界面（HMI）运行时开发软件。AdvantechWebAccessHMIDesigner2.1.7.32及之前版本在处理特制.pm3文件时存在堆缓冲区溢出漏洞，攻击者可利用漏洞远程执行代码。,https://ics-cert.us-cert.gov/advisories/ICSA-18-114-03,厂商尚未提供漏洞修补方案，请关注厂商主页及时更新：http://www.advantech.com/,,2018/4/26
322,Vecna VGo Robot信息泄露漏洞,CNVD-2018-08451,2018/4/26,中,"VecnaTechnologies,IncVGoRobot<3.0.3.52164",CVE-2018-8860,0,VGo是一种新的生产力改进解决方案，可让个人在遥远的地方复制自己，并可自由移动，就好像他们身在那里一样。VecnaVGoRobot3.0.3.52164之前版本中存在信息泄露漏洞，攻击者可利用漏洞通过相邻网络捕获固件更新。,https://ics-cert.us-cert.gov/advisories/ICSA-18-114-01,用户可联系供应商获得补丁信息：https://ics-cert.us-cert.gov/advisories/ICSA-18-114-01,Vecna VGo Robot信息泄露漏洞的补丁,2018/4/26
323,Schneider Electric Triconex Tricon未授权操作漏洞（CNVD-2018-08449）,CNVD-2018-08449,2018/4/26,中,SchneiderElectricTriconexTriconMPmodel300810.0-10.4,CVE-2018-7522,0,TriconexTricon3008是法国施耐德电气（SchneiderElectric）公司的一款网络设备产品。SchneiderElectricTriconexTricon存在未授权操作漏洞。当进行系统调用时，寄存器被存储到固定的存储位置。修改此位置中的数据可能会使攻击者获得主管级访问和控制系统状态。,https://ics-cert.us-cert.gov/advisories/ICSA-18-107-02,用户可联系供应商获得补丁信息：https://ics-cert.us-cert.gov/advisories/ICSA-18-107-02,Schneider Electric Triconex Tricon未授权操作漏洞（CNVD-2018-08449）的补丁,2018/4/26
